id,spanish,english,type
w_0107,pido pan extra,I order extra bread,phrase
w_0108,pido una ensalada,I order a salad,phrase
w_0109,pido una sopa,I order a soup,phrase
w_0110,pido un postre,I order a dessert,phrase
w_0111,como una mesa,I eat a table,phrase
w_0112,como el menu,I eat the menu,phrase
w_0113,como la cuenta,I eat the bill,phrase
w_0114,como agua sin gas,I eat still water,phrase
w_0115,como agua con gas,I eat sparkling water,phrase
w_0116,como una tapa,I eat a tapa,phrase
w_0117,como el plato del dia,I eat the dish of the day,phrase
w_0118,como un cafe solo,I eat an espresso,phrase
w_0119,como un cafe con leche,I eat coffee with milk,phrase
w_0120,como una cerveza fria,I eat a cold beer,phrase
w_0121,como una botella de vino,I eat a bottle of wine,phrase
w_0122,como pan extra,I eat extra bread,phrase
w_0123,como una ensalada,I eat a salad,phrase
w_0124,como una sopa,I eat a soup,phrase
w_0125,como un postre,I eat a dessert,phrase
w_0126,bebo una mesa,I drink a table,phrase
w_0127,bebo el menu,I drink the menu,phrase
w_0128,bebo la cuenta,I drink the bill,phrase
w_0129,bebo agua sin gas,I drink still water,phrase
w_0130,bebo agua con gas,I drink sparkling water,phrase
w_0131,bebo una tapa,I drink a tapa,phrase
w_0132,bebo el plato del dia,I drink the dish of the day,phrase
w_0133,bebo un cafe solo,I drink an espresso,phrase
w_0134,bebo un cafe con leche,I drink coffee with milk,phrase
w_0135,bebo una cerveza fria,I drink a cold beer,phrase
w_0136,bebo una botella de vino,I drink a bottle of wine,phrase
w_0137,bebo pan extra,I drink extra bread,phrase
w_0138,bebo una ensalada,I drink a salad,phrase
w_0139,bebo una sopa,I drink a soup,phrase
w_0140,bebo un postre,I drink a dessert,phrase
w_0141,necesito una mesa,I need a table,phrase
w_0142,necesito el menu,I need the menu,phrase
w_0143,necesito la cuenta,I need the bill,phrase
w_0144,necesito agua sin gas,I need still water,phrase
w_0145,necesito agua con gas,I need sparkling water,phrase
w_0146,necesito una tapa,I need a tapa,phrase
w_0147,necesito el plato del dia,I need the dish of the day,phrase
w_0148,necesito un cafe solo,I need an espresso,phrase
w_0149,necesito un cafe con leche,I need coffee with milk,phrase
w_0150,necesito una cerveza fria,I need a cold beer,phrase
w_0151,necesito una botella de vino,I need a bottle of wine,phrase
w_0152,necesito pan extra,I need extra bread,phrase
w_0153,necesito una ensalada,I need a salad,phrase
w_0154,necesito una sopa,I need a soup,phrase
w_0155,necesito un postre,I need a dessert,phrase
w_0156,pruebo una mesa,I try a table,phrase
w_0157,pruebo el menu,I try the menu,phrase
w_0158,pruebo la cuenta,I try the bill,phrase
w_0159,pruebo agua sin gas,I try still water,phrase
w_0160,pruebo agua con gas,I try sparkling water,phrase
w_0161,pruebo una tapa,I try a tapa,phrase
w_0162,pruebo el plato del dia,I try the dish of the day,phrase
w_0163,pruebo un cafe solo,I try an espresso,phrase
w_0164,pruebo un cafe con leche,I try coffee with milk,phrase
w_0165,pruebo una cerveza fria,I try a cold beer,phrase
w_0166,pruebo una botella de vino,I try a bottle of wine,phrase
w_0167,pruebo pan extra,I try extra bread,phrase
w_0168,pruebo una ensalada,I try a salad,phrase
w_0169,pruebo una sopa,I try a soup,phrase
w_0170,pruebo un postre,I try a dessert,phrase
w_0171,comparto una mesa,I share a table,phrase
w_0172,comparto el menu,I share the menu,phrase
w_0173,comparto la cuenta,I share the bill,phrase
w_0174,comparto agua sin gas,I share still water,phrase
w_0175,comparto agua con gas,I share sparkling water,phrase
w_0176,comparto una tapa,I share a tapa,phrase
w_0177,comparto el plato del dia,I share the dish of the day,phrase
w_0178,comparto un cafe solo,I share an espresso,phrase
w_0179,comparto un cafe con leche,I share coffee with milk,phrase
w_0180,comparto una cerveza fria,I share a cold beer,phrase
w_0181,comparto una botella de vino,I share a bottle of wine,phrase
w_0182,comparto pan extra,I share extra bread,phrase
w_0183,comparto una ensalada,I share a salad,phrase
w_0184,comparto una sopa,I share a soup,phrase
w_0185,comparto un postre,I share a dessert,phrase
w_0186,cocino una mesa,I cook a table,phrase
w_0187,cocino el menu,I cook the menu,phrase
w_0188,cocino la cuenta,I cook the bill,phrase
w_0189,cocino agua sin gas,I cook still water,phrase
w_0190,cocino agua con gas,I cook sparkling water,phrase
w_0191,cocino una tapa,I cook a tapa,phrase
w_0192,cocino el plato del dia,I cook the dish of the day,phrase
w_0193,cocino un cafe solo,I cook an espresso,phrase
w_0194,cocino un cafe con leche,I cook coffee with milk,phrase
w_0195,cocino una cerveza fria,I cook a cold beer,phrase
w_0196,cocino una botella de vino,I cook a bottle of wine,phrase
w_0197,cocino pan extra,I cook extra bread,phrase
w_0198,cocino una ensalada,I cook a salad,phrase
w_0199,cocino una sopa,I cook a soup,phrase
w_0200,cocino un postre,I cook a dessert,phrase
